antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.026445698166431594,0.11955470481563571,0.007193229901269393,0.27199999999999996,2.2751091261481413,1.0,0.004031522263338265,1.2094028780005004,0.575685036781826,0.05182174481056757,0.17314567528291736,0.16608342462290382
frozenset({'Bag of Organic Bananas'}),frozenset({'Apple Honeycrisp Organic'}),0.11955470481563571,0.026445698166431594,0.007193229901269393,0.060166849245807695,2.2751091261481418,1.0,0.004031522263338265,1.0358799336374926,0.6365649826577845,0.05182174481056757,0.034637154821119384,0.16608342462290382
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Banana'}),0.026445698166431594,0.1486903082812815,0.005712270803949224,0.216,1.4526837861643742,1.0,0.00178005179086879,1.0858541986208143,0.32008378223517664,0.03371588273770589,0.07906604655566205,0.12720861847008605
frozenset({'Banana'}),frozenset({'Apple Honeycrisp Organic'}),0.1486903082812815,0.026445698166431594,0.005712270803949224,0.03841723694017209,1.452683786164374,1.0,0.00178005179086879,1.0124498267165751,0.36604651183176884,0.03371588273770589,0.012296734502835225,0.12720861847008605
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Strawberries'}),0.026445698166431594,0.08198670159177916,0.005228692323191618,0.1977142857142857,2.4115409191447528,1.0,0.0030604967592341293,1.1442473448820418,0.6012272507447876,0.05066380320187427,0.12606308026601698,0.13074458448899343
frozenset({'Organic Strawberries'}),frozenset({'Apple Honeycrisp Organic'}),0.08198670159177916,0.026445698166431594,0.005228692323191618,0.06377488326370115,2.4115409191447528,1.0,0.0030604967592341293,1.0398720184173225,0.6376022845824558,0.05066380320187427,0.0383431977312048,0.13074458448899343
frozenset({'Large Lemon'}),frozenset({'Bag of Organic Bananas'}),0.047350392907515616,0.11955470481563571,0.005994358251057828,0.12659574468085108,1.058893875201928,1.0,0.0003333960040954277,1.0080616047177862,0.05838274396052831,0.0372526922113699,0.007997134976729001,0.08836739285951209
frozenset({'Bag of Organic Bananas'}),frozenset({'Large Lemon'}),0.11955470481563571,0.047350392907515616,0.005994358251057828,0.050139041038173085,1.0588938752019277,1.0,0.0003333960040954277,1.0029358487727567,0.06317064603466589,0.0372526922113699,0.002927254795358083,0.08836739285951209
frozenset({'Bag of Organic Bananas'}),frozenset({'Limes'}),0.11955470481563571,0.04349183961313721,0.00613540197461213,0.05131878318024775,1.1799634974453073,1.0,0.0009357479277745384,1.0082503410295702,0.17322615878367012,0.03910112359550562,0.008182829892371124,0.09619448540527328
frozenset({'Limes'}),frozenset({'Bag of Organic Bananas'}),0.04349183961313721,0.11955470481563571,0.00613540197461213,0.14107018763029883,1.1799634974453073,1.0,0.0009357479277745384,1.0250491745714405,0.1594509726318031,0.03910112359550562,0.02443704672208828,0.09619448540527328
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Avocado'}),0.11955470481563571,0.05419101349989926,0.007122708039492243,0.059576978174770374,1.099388520845456,1.0,0.0006439174168516573,1.0057271722936107,0.10267924157520174,0.04274744543200919,0.005694558575512693,0.0955070241310736
frozenset({'Organic Avocado'}),frozenset({'Bag of Organic Bananas'}),0.05419101349989926,0.11955470481563571,0.007122708039492243,0.13143707008737684,1.099388520845456,1.0,0.0006439174168516573,1.0136804886123063,0.09558320596267195,0.04274744543200919,0.013495858671438503,0.0955070241310736
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.07532742292967963,0.11955470481563571,0.016048760830143057,0.21305336364852212,1.7820575440930568,1.0,0.007043013017262661,1.1188119429118784,0.47460139253235606,0.0897414230184215,0.10619473957585053,0.173645582978723
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.11955470481563571,0.07532742292967963,0.016048760830143057,0.13423780230892388,1.7820575440930566,1.0,0.007043013017262661,1.0680445271650274,0.49844197602550816,0.0897414230184215,0.06370944790629837,0.173645582978723
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.031442675800926856,0.11955470481563571,0.006790247833971389,0.21595642422300548,1.8063398220591154,1.0,0.0030311280099778464,1.1229545428158565,0.4608857945945787,0.04708676819896605,0.10949200357437694,0.13637629081715708
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Blueberries'}),0.11955470481563571,0.031442675800926856,0.006790247833971389,0.056796157411308675,1.8063398220591156,1.0,0.0030311280099778464,1.0268801720959888,0.5070097079460391,0.04708676819896605,0.026176542138429765,0.13637629081715708
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Cucumber'}),0.11955470481563571,0.02473302438041507,0.006488011283497884,0.05426813853543439,2.194156998381759,1.0,0.003531061854499439,1.031229902849293,0.6181464105209614,0.04708290685772773,0.03028413233848683,0.15829496539806343
frozenset({'Organic Cucumber'}),frozenset({'Bag of Organic Bananas'}),0.02473302438041507,0.11955470481563571,0.006488011283497884,0.26232179226069247,2.194156998381759,1.0,0.003531061854499439,1.1935357259401513,0.5580462709018994,0.04708290685772773,0.16215327428737236,0.15829496539806343
